,team,goals,assists,ds,throwaways,drops,opoints,dpoints,totalpoints,pct_opoints,pct_goal,pct_assist,pct_d,goal_percentile,assist_percentile,cluster
Hubbard,,46,7,20,4,5,171,206,377,0.453580901857,0.122015915119,0.0185676392573,0.053050397878,0.880308880309,0.175032175032,d_cutter
Radcli T,,46,28,9,15,7,214,33,247,0.866396761134,0.186234817814,0.113360323887,0.0364372469636,0.976833976834,0.867438867439,o_cutter
Higgin S,,46,38,8,24,3,239,50,289,0.826989619377,0.159169550173,0.131487889273,0.0276816608997,0.94851994852,0.903474903475,o_cutter
Clark D,,45,15,12,10,7,106,151,257,0.412451361868,0.175097276265,0.0583657587549,0.0466926070039,0.972972972973,0.568854568855,d_cutter
Matt C,,44,12,5,11,5,207,21,228,0.907894736842,0.19298245614,0.0526315789474,0.0219298245614,0.980694980695,0.530888030888,o_cutter
Rehder M,,42,24,21,13,5,175,68,243,0.720164609053,0.172839506173,0.0987654320988,0.0864197530864,0.971685971686,0.822393822394,o_cutter
McDoug S,,41,12,17,11,5,171,67,238,0.718487394958,0.172268907563,0.0504201680672,0.0714285714286,0.969111969112,0.505791505792,o_cutter
Plew K,,39,64,6,27,7,252,22,274,0.919708029197,0.142335766423,0.233576642336,0.021897810219,0.921492921493,0.996138996139,o_cutter
A Mesh,,39,34,35,25,6,74,321,395,0.187341772152,0.0987341772152,0.0860759493671,0.0886075949367,0.80694980695,0.767052767053,d_handler
Misleh G,,38,32,14,41,8,244,49,293,0.832764505119,0.129692832765,0.109215017065,0.0477815699659,0.899613899614,0.855855855856,o_cutter
Sanche M,,38,46,17,25,4,335,74,409,0.819070904645,0.0929095354523,0.112469437653,0.041564792176,0.76833976834,0.864864864865,o_cutter
Steven M,,38,6,2,7,2,203,21,224,0.90625,0.169642857143,0.0267857142857,0.00892857142857,0.962676962677,0.251608751609,o_cutter
D Wise,,38,38,6,16,6,182,44,226,0.805309734513,0.16814159292,0.16814159292,0.0265486725664,0.958815958816,0.976833976834,o_cutter
Cohen J,,37,29,6,18,5,214,26,240,0.891666666667,0.154166666667,0.120833333333,0.025,0.944658944659,0.88416988417,o_cutter
Matt K,,37,33,12,14,3,214,28,242,0.884297520661,0.152892561983,0.136363636364,0.0495867768595,0.936936936937,0.915057915058,o_cutter
Illian R,,37,24,16,8,6,145,72,217,0.668202764977,0.170506912442,0.110599078341,0.073732718894,0.966537966538,0.857786357786,o_cutter
Coulter,,37,27,11,25,6,147,38,185,0.794594594595,0.2,0.145945945946,0.0594594594595,0.983268983269,0.939510939511,o_cutter
Wu D,,35,9,6,16,7,220,53,273,0.805860805861,0.128205128205,0.032967032967,0.021978021978,0.89703989704,0.319176319176,o_cutter
J-P R,,35,13,10,7,5,161,46,207,0.777777777778,0.169082125604,0.0628019323671,0.048309178744,0.96138996139,0.615186615187,o_cutter
Hickson,,34,31,10,23,2,258,51,309,0.834951456311,0.11003236246,0.100323624595,0.0323624595469,0.854568854569,0.835263835264,o_cutter
Martin J,,34,16,16,3,1,40,112,152,0.263157894737,0.223684210526,0.105263157895,0.105263157895,0.990990990991,0.844272844273,o_cutter
Marlia G,,34,20,4,9,0,119,100,219,0.543378995434,0.155251141553,0.0913242009132,0.0182648401826,0.945945945946,0.787644787645,o_cutter
C Camp,,33,13,7,8,11,131,13,144,0.909722222222,0.229166666667,0.0902777777778,0.0486111111111,0.993564993565,0.783783783784,o_cutter
Fontai S,,33,18,5,8,4,171,13,184,0.929347826087,0.179347826087,0.0978260869565,0.0271739130435,0.97425997426,0.815958815959,o_cutter
Johnso C,,33,29,17,20,4,184,139,323,0.569659442724,0.102167182663,0.0897832817337,0.0526315789474,0.824967824968,0.779922779923,o_cutter
Van Brus,,33,19,7,10,8,255,97,352,0.724431818182,0.09375,0.0539772727273,0.0198863636364,0.774774774775,0.540540540541,o_cutter
F-X H,,32,21,3,16,7,228,26,254,0.897637795276,0.125984251969,0.0826771653543,0.011811023622,0.890604890605,0.746460746461,o_cutter
Magerr B,,32,16,10,12,8,201,31,232,0.866379310345,0.137931034483,0.0689655172414,0.0431034482759,0.915057915058,0.65444015444,o_cutter
AJ,,32,10,8,7,2,113,28,141,0.801418439716,0.22695035461,0.0709219858156,0.0567375886525,0.992277992278,0.667953667954,o_cutter
C. Olsen,,31,30,7,18,3,192,27,219,0.876712328767,0.141552511416,0.13698630137,0.0319634703196,0.920205920206,0.917631917632,o_cutter
WayK,,31,43,5,32,3,210,53,263,0.798479087452,0.117870722433,0.163498098859,0.0190114068441,0.872586872587,0.970398970399,o_cutter
Fenton D,,31,20,3,9,3,132,112,244,0.540983606557,0.127049180328,0.0819672131148,0.0122950819672,0.895752895753,0.741312741313,o_cutter
Lang B,,30,23,7,14,4,105,158,263,0.399239543726,0.114068441065,0.0874524714829,0.0266159695817,0.861003861004,0.769626769627,o_cutter
LoiseauK,,30,20,14,24,5,164,79,243,0.674897119342,0.123456790123,0.082304526749,0.0576131687243,0.8861003861,0.7425997426,o_cutter
Johnso E,,30,15,11,11,1,159,28,187,0.850267379679,0.160427807487,0.0802139037433,0.0588235294118,0.949806949807,0.722007722008,o_cutter
Page N,,30,15,12,9,3,111,126,237,0.46835443038,0.126582278481,0.0632911392405,0.0506329113924,0.891891891892,0.620334620335,o_cutter
Elboge M,,30,29,8,27,3,208,35,243,0.855967078189,0.123456790123,0.119341563786,0.0329218106996,0.8861003861,0.877734877735,o_cutter
Goose,,30,32,12,29,6,139,128,267,0.520599250936,0.112359550562,0.119850187266,0.0449438202247,0.85842985843,0.879021879022,o_cutter
Danny,,30,11,11,25,12,192,226,418,0.459330143541,0.0717703349282,0.0263157894737,0.0263157894737,0.642213642214,0.248391248391,d_cutter
Ward R,,30,8,26,9,0,24,200,224,0.107142857143,0.133928571429,0.0357142857143,0.116071428571,0.90990990991,0.354568854569,d_cutter
Lindquis,,29,55,8,15,3,185,123,308,0.600649350649,0.0941558441558,0.178571428571,0.025974025974,0.78120978121,0.985842985843,o_cutter
Dallma L,,29,13,11,20,3,85,128,213,0.399061032864,0.136150234742,0.0610328638498,0.0516431924883,0.91184041184,0.60102960103,d_cutter
Gailit A,,29,23,7,14,2,258,43,301,0.857142857143,0.0963455149502,0.0764119601329,0.0232558139535,0.79407979408,0.694980694981,o_cutter
Sullivan,,29,55,8,47,1,230,53,283,0.812720848057,0.102473498233,0.194346289753,0.0282685512367,0.826254826255,0.990990990991,o_cutter
Scott,,29,48,13,79,4,296,59,355,0.833802816901,0.0816901408451,0.135211267606,0.0366197183099,0.711711711712,0.911196911197,o_cutter
Catron T,,29,15,3,10,2,170,43,213,0.798122065728,0.136150234742,0.0704225352113,0.0140845070423,0.91184041184,0.66537966538,o_cutter
Dayton M,,29,7,5,6,11,264,24,288,0.916666666667,0.100694444444,0.0243055555556,0.0173611111111,0.817245817246,0.226512226512,o_cutter
Evans S,,29,2,11,3,3,44,192,236,0.186440677966,0.122881355932,0.00847457627119,0.0466101694915,0.88416988417,0.111969111969,d_cutter
Doug U,,29,21,7,16,6,186,40,226,0.823008849558,0.128318584071,0.0929203539823,0.0309734513274,0.898326898327,0.790218790219,o_cutter
Underh K,,29,49,13,27,1,269,64,333,0.807807807808,0.0870870870871,0.147147147147,0.039039039039,0.740025740026,0.944015444015,o_cutter
DeGiro T,,28,86,13,19,3,203,95,298,0.681208053691,0.0939597315436,0.288590604027,0.0436241610738,0.777992277992,0.998712998713,o_cutter
B Hart,,28,30,11,18,5,150,50,200,0.75,0.14,0.15,0.055,0.918918918919,0.94851994852,o_cutter
Sefton J,,27,18,5,11,6,157,65,222,0.707207207207,0.121621621622,0.0810810810811,0.0225225225225,0.878378378378,0.732947232947,o_cutter
Powell G,,27,10,18,12,0,32,139,171,0.187134502924,0.157894736842,0.0584795321637,0.105263157895,0.947232947233,0.570785070785,d_cutter
Nguyen B,,27,12,6,11,2,172,30,202,0.851485148515,0.133663366337,0.0594059405941,0.029702970297,0.908622908623,0.586229086229,o_cutter
HillJ,,27,7,9,7,6,101,75,176,0.573863636364,0.153409090909,0.0397727272727,0.0511363636364,0.939510939511,0.414414414414,d_cutter
Micky R,,27,28,3,30,10,229,63,292,0.784246575342,0.0924657534247,0.0958904109589,0.0102739726027,0.764478764479,0.809523809524,o_cutter
J Clark,,26,19,8,19,5,168,29,197,0.852791878173,0.131979695431,0.0964467005076,0.0406091370558,0.904761904762,0.812097812098,o_cutter
Mitche T,,26,21,12,25,9,283,83,366,0.773224043716,0.0710382513661,0.0573770491803,0.0327868852459,0.631917631918,0.56241956242,o_cutter
Silva K,,26,3,10,8,2,118,35,153,0.771241830065,0.169934640523,0.0196078431373,0.0653594771242,0.965250965251,0.18018018018,d_cutter
Cohen G,,26,15,14,9,0,82,166,248,0.33064516129,0.104838709677,0.0604838709677,0.0564516129032,0.835263835264,0.597168597169,d_cutter
Mickle J,,26,61,10,33,6,248,135,383,0.647519582245,0.0678851174935,0.159268929504,0.0261096605744,0.611325611326,0.966537966538,o_cutter
Drost R,,26,20,32,18,2,65,250,315,0.206349206349,0.0825396825397,0.0634920634921,0.101587301587,0.715572715573,0.621621621622,d_cutter
Tim K,,26,11,26,7,5,96,175,271,0.354243542435,0.0959409594096,0.0405904059041,0.0959409594096,0.792792792793,0.423423423423,d_cutter
Del Real,,26,12,7,14,6,193,28,221,0.873303167421,0.117647058824,0.0542986425339,0.0316742081448,0.870656370656,0.543114543115,o_cutter
Snoke D,,25,29,11,12,2,254,39,293,0.866894197952,0.0853242320819,0.098976109215,0.037542662116,0.733590733591,0.824967824968,o_cutter
AntoineG,,25,49,28,41,7,94,239,333,0.282282282282,0.0750750750751,0.147147147147,0.0840840840841,0.66537966538,0.944015444015,d_handler
Guo E,,25,12,4,7,2,134,19,153,0.875816993464,0.16339869281,0.078431372549,0.0261437908497,0.953667953668,0.710424710425,o_cutter
Settle T,,25,24,10,33,4,277,44,321,0.86292834891,0.0778816199377,0.0747663551402,0.0311526479751,0.682110682111,0.685971685972,o_cutter
Neve M,,25,12,12,6,3,158,87,245,0.644897959184,0.102040816327,0.0489795918367,0.0489795918367,0.823037323037,0.491634491634,o_cutter
B. Moore,,25,21,4,9,3,221,34,255,0.866666666667,0.0980392156863,0.0823529411765,0.0156862745098,0.803732303732,0.743886743887,o_cutter
Ivers B,,25,3,11,1,0,19,212,231,0.0822510822511,0.108225108225,0.012987012987,0.047619047619,0.849420849421,0.135135135135,d_cutter
David BK,,25,17,9,10,0,155,25,180,0.861111111111,0.138888888889,0.0944444444444,0.05,0.916988416988,0.797940797941,o_cutter
Sisto J,,24,6,5,8,3,166,56,222,0.747747747748,0.108108108108,0.027027027027,0.0225225225225,0.84749034749,0.254826254826,d_cutter
J-L C,,24,9,16,14,2,103,164,267,0.385767790262,0.0898876404494,0.0337078651685,0.059925093633,0.747747747748,0.326254826255,d_cutter
Gross R,,24,13,18,7,1,74,182,256,0.2890625,0.09375,0.05078125,0.0703125,0.774774774775,0.507078507079,d_cutter
Koss R,,24,27,19,30,7,135,197,332,0.406626506024,0.0722891566265,0.0813253012048,0.0572289156627,0.646074646075,0.736164736165,d_handler
Fedore M,,24,21,17,9,2,37,216,253,0.146245059289,0.0948616600791,0.0830039525692,0.0671936758893,0.786357786358,0.749034749035,d_handler
Drost M,,24,13,28,13,0,33,221,254,0.129921259843,0.0944881889764,0.0511811023622,0.110236220472,0.784427284427,0.513513513514,d_cutter
Kevin Gr,,24,21,20,36,7,141,118,259,0.544401544402,0.0926640926641,0.0810810810811,0.0772200772201,0.765765765766,0.732947232947,o_cutter
Purdy T,,24,12,13,8,4,98,107,205,0.478048780488,0.117073170732,0.0585365853659,0.0634146341463,0.868725868726,0.573359073359,o_cutter
AlexandK,,24,25,3,16,5,197,27,224,0.879464285714,0.107142857143,0.111607142857,0.0133928571429,0.844272844273,0.863577863578,o_cutter
Brooks T,,24,44,3,26,0,220,27,247,0.890688259109,0.0971659919028,0.178137651822,0.0121457489879,0.800514800515,0.984555984556,o_cutter
Jacobs L,,24,28,9,15,3,119,104,223,0.533632286996,0.107623318386,0.125560538117,0.0403587443946,0.84555984556,0.889317889318,o_cutter
Muniz C,,23,39,9,37,8,232,60,292,0.794520547945,0.0787671232877,0.133561643836,0.0308219178082,0.688545688546,0.907335907336,o_cutter
Wu C,,23,4,2,3,6,84,7,91,0.923076923077,0.252747252747,0.043956043956,0.021978021978,0.998712998713,0.46138996139,o_cutter
ForestNL,,23,10,9,10,3,200,40,240,0.833333333333,0.0958333333333,0.0416666666667,0.0375,0.791505791506,0.436293436293,o_cutter
Mark F,,23,19,8,12,5,165,26,191,0.86387434555,0.120418848168,0.0994764397906,0.0418848167539,0.875160875161,0.828828828829,o_cutter
Aulett M,,23,30,6,28,4,220,33,253,0.869565217391,0.0909090909091,0.118577075099,0.0237154150198,0.754826254826,0.876447876448,o_cutter
Harde C,,23,11,5,11,3,116,59,175,0.662857142857,0.131428571429,0.0628571428571,0.0285714285714,0.902187902188,0.617117117117,o_cutter
Shirle D,,22,10,14,23,6,145,61,206,0.703883495146,0.106796116505,0.0485436893204,0.0679611650485,0.841698841699,0.490347490347,o_cutter
Repper A,,22,14,25,11,2,54,211,265,0.203773584906,0.0830188679245,0.0528301886792,0.0943396226415,0.71685971686,0.532818532819,d_cutter
Rasmus C,,22,18,6,29,2,210,95,305,0.688524590164,0.072131147541,0.0590163934426,0.0196721311475,0.644787644788,0.581724581725,o_cutter
RBradham,,22,5,3,6,2,8,152,160,0.05,0.1375,0.03125,0.01875,0.913770913771,0.302445302445,d_cutter
S Meyer,,22,8,19,3,2,32,153,185,0.172972972973,0.118918918919,0.0432432432432,0.102702702703,0.873873873874,0.449163449163,d_cutter
Channing,,22,13,3,20,8,151,83,234,0.645299145299,0.0940170940171,0.0555555555556,0.0128205128205,0.779922779923,0.553410553411,o_cutter
Carneg H,,22,9,6,11,2,106,59,165,0.642424242424,0.133333333333,0.0545454545455,0.0363636363636,0.906692406692,0.544401544402,o_cutter
Mott S,,21,22,11,32,6,161,46,207,0.777777777778,0.101449275362,0.106280193237,0.0531400966184,0.821106821107,0.848133848134,o_cutter
Connor F,,21,19,1,20,5,224,23,247,0.906882591093,0.085020242915,0.0769230769231,0.00404858299595,0.72972972973,0.698841698842,o_cutter
Milard S,,21,14,24,9,1,59,215,274,0.215328467153,0.0766423357664,0.0510948905109,0.0875912408759,0.674388674389,0.512226512227,d_cutter
J Froude,,21,19,29,10,2,47,177,224,0.209821428571,0.09375,0.0848214285714,0.129464285714,0.774774774775,0.761261261261,d_handler
Nordeg J,,20,11,16,6,2,52,123,175,0.297142857143,0.114285714286,0.0628571428571,0.0914285714286,0.864864864865,0.617117117117,d_cutter
Bode M,,20,19,4,5,0,155,40,195,0.794871794872,0.102564102564,0.0974358974359,0.0205128205128,0.828828828829,0.814671814672,o_cutter
Hood M,,20,37,10,29,2,178,90,268,0.664179104478,0.0746268656716,0.138059701493,0.0373134328358,0.657657657658,0.92277992278,o_cutter
Kittle J,,20,12,31,7,6,69,180,249,0.277108433735,0.0803212851406,0.0481927710843,0.124497991968,0.706563706564,0.485199485199,d_cutter
Marsh J,,20,15,1,17,2,110,9,119,0.924369747899,0.168067226891,0.126050420168,0.00840336134454,0.957528957529,0.893178893179,o_cutter
Sansbu B,,20,6,9,7,2,92,112,204,0.450980392157,0.0980392156863,0.0294117647059,0.0441176470588,0.803732303732,0.276061776062,d_cutter
Lahey P,,20,2,8,6,3,53,63,116,0.456896551724,0.172413793103,0.0172413793103,0.0689655172414,0.970398970399,0.163449163449,d_cutter
Cooli,,20,6,10,11,6,184,35,219,0.840182648402,0.0913242009132,0.027397260274,0.0456621004566,0.758043758044,0.2574002574,o_cutter
Rankin Z,,20,23,8,20,2,106,46,152,0.697368421053,0.131578947368,0.151315789474,0.0526315789474,0.903474903475,0.953667953668,o_cutter
WestwelS,,20,22,7,14,2,143,72,215,0.66511627907,0.093023255814,0.102325581395,0.0325581395349,0.770913770914,0.839124839125,o_cutter
Yearwood,,20,41,7,19,3,182,90,272,0.669117647059,0.0735294117647,0.150735294118,0.0257352941176,0.651222651223,0.951093951094,o_cutter
S Rich,,19,16,6,8,7,105,46,151,0.695364238411,0.12582781457,0.105960264901,0.0397350993377,0.889317889318,0.846846846847,o_cutter
Carroll,,19,19,20,11,3,55,240,295,0.186440677966,0.064406779661,0.064406779661,0.0677966101695,0.595881595882,0.622908622909,d_handler
Chip C,,19,9,8,11,7,89,118,207,0.429951690821,0.0917874396135,0.0434782608696,0.0386473429952,0.760617760618,0.454954954955,d_cutter
P Shriwi,,19,32,18,18,3,141,71,212,0.665094339623,0.0896226415094,0.150943396226,0.0849056603774,0.746460746461,0.952380952381,o_cutter
BergM,,19,3,4,0,5,68,61,129,0.527131782946,0.147286821705,0.0232558139535,0.031007751938,0.933075933076,0.215572715573,d_cutter
Wolle C,,19,12,11,4,5,115,82,197,0.583756345178,0.0964467005076,0.0609137055838,0.0558375634518,0.795366795367,0.599742599743,o_cutter
Leduc M,,19,8,10,6,3,76,151,227,0.334801762115,0.0837004405286,0.0352422907489,0.0440528634361,0.723294723295,0.346846846847,d_cutter
Tarasi D,,19,34,11,18,4,227,40,267,0.850187265918,0.0711610486891,0.12734082397,0.0411985018727,0.633204633205,0.89703989704,o_cutter
Bellav J,,19,58,2,26,8,280,63,343,0.816326530612,0.0553935860058,0.169096209913,0.00583090379009,0.518661518662,0.978120978121,o_cutter
Jagt B,,19,26,12,12,2,60,92,152,0.394736842105,0.125,0.171052631579,0.0789473684211,0.888030888031,0.979407979408,o_cutter
Pitts C,,19,7,5,3,4,108,97,205,0.526829268293,0.0926829268293,0.0341463414634,0.0243902439024,0.767052767053,0.330759330759,d_cutter
Jon P,,19,11,6,17,1,137,74,211,0.649289099526,0.0900473933649,0.0521327014218,0.0284360189573,0.750321750322,0.525096525097,o_cutter
Shawn S,,19,14,4,15,7,174,19,193,0.901554404145,0.0984455958549,0.0725388601036,0.020725388601,0.805662805663,0.675675675676,o_cutter
Seyler J,,18,6,6,9,3,90,79,169,0.532544378698,0.10650887574,0.0355029585799,0.0355029585799,0.840411840412,0.351994851995,d_cutter
Lenta R,,18,12,3,8,4,140,25,165,0.848484848485,0.109090909091,0.0727272727273,0.0181818181818,0.853281853282,0.67824967825,o_cutter
Forste R,,18,19,4,22,4,205,35,240,0.854166666667,0.075,0.0791666666667,0.0166666666667,0.662162162162,0.715572715573,o_cutter
Ortiz J,,18,9,8,12,6,134,82,216,0.62037037037,0.0833333333333,0.0416666666667,0.037037037037,0.720077220077,0.436293436293,o_cutter
Mack Ed,,18,25,9,20,5,278,17,295,0.942372881356,0.0610169491525,0.0847457627119,0.0305084745763,0.567567567568,0.758043758044,o_cutter
Madden B,,18,8,10,9,4,131,99,230,0.569565217391,0.0782608695652,0.0347826086957,0.0434782608696,0.684684684685,0.344916344916,d_cutter
HogelM,,18,12,8,14,3,165,31,196,0.841836734694,0.0918367346939,0.0612244897959,0.0408163265306,0.761904761905,0.603603603604,o_cutter
Matis B,,18,11,16,10,4,56,144,200,0.28,0.09,0.055,0.08,0.749034749035,0.548906048906,d_cutter
Yz I,,18,12,1,12,1,135,13,148,0.912162162162,0.121621621622,0.0810810810811,0.00675675675676,0.878378378378,0.732947232947,o_cutter
Hausma J,,18,23,5,19,4,110,110,220,0.5,0.0818181818182,0.104545454545,0.0227272727273,0.712998712999,0.841698841699,o_cutter
Walker J,,18,5,10,3,3,70,158,228,0.30701754386,0.0789473684211,0.0219298245614,0.0438596491228,0.69111969112,0.202059202059,d_cutter
Wright J,,17,17,3,27,5,129,46,175,0.737142857143,0.0971428571429,0.0971428571429,0.0171428571429,0.799227799228,0.813384813385,o_cutter
M Swain,,17,8,9,12,2,36,123,159,0.22641509434,0.106918238994,0.0503144654088,0.0566037735849,0.842985842986,0.504504504505,d_cutter
Kaufmann,,17,6,8,5,3,45,73,118,0.381355932203,0.14406779661,0.0508474576271,0.0677966101695,0.929214929215,0.509009009009,d_cutter
Casey B,,17,38,2,20,2,240,37,277,0.86642599278,0.0613718411552,0.137184115523,0.0072202166065,0.571428571429,0.918918918919,o_cutter
Colema J,,17,1,10,1,3,19,218,237,0.0801687763713,0.0717299578059,0.0042194092827,0.042194092827,0.640926640927,0.0965250965251,d_cutter
Kerns E,,17,32,5,21,3,120,95,215,0.558139534884,0.0790697674419,0.148837209302,0.0232558139535,0.692406692407,0.945945945946,o_cutter
Leggio D,,17,23,12,9,3,170,146,316,0.537974683544,0.0537974683544,0.0727848101266,0.0379746835443,0.500643500644,0.679536679537,d_handler
LeeM,,17,17,10,11,1,29,143,172,0.168604651163,0.0988372093023,0.0988372093023,0.0581395348837,0.808236808237,0.823680823681,d_handler
Jordan M,,17,5,5,3,4,115,25,140,0.821428571429,0.121428571429,0.0357142857143,0.0357142857143,0.876447876448,0.354568854569,o_cutter
Grand C,,17,18,8,26,6,173,126,299,0.578595317726,0.056856187291,0.0602006688963,0.0267558528428,0.539253539254,0.593307593308,o_handler
Gaines A,,17,10,7,14,2,94,84,178,0.52808988764,0.0955056179775,0.0561797752809,0.0393258426966,0.788931788932,0.558558558559,o_cutter
Schrin S,,17,33,10,49,4,268,40,308,0.87012987013,0.0551948051948,0.107142857143,0.0324675324675,0.516087516088,0.853281853282,o_cutter
Merie Z,,17,1,9,3,4,90,67,157,0.573248407643,0.108280254777,0.00636942675159,0.0573248407643,0.850707850708,0.105534105534,d_cutter
M Weber,,17,4,9,0,2,22,127,149,0.147651006711,0.114093959732,0.0268456375839,0.0604026845638,0.862290862291,0.253539253539,d_cutter
Loscar S,,16,6,13,6,3,21,154,175,0.12,0.0914285714286,0.0342857142857,0.0742857142857,0.759330759331,0.333333333333,d_cutter
P Graffy,,16,18,17,7,2,35,177,212,0.165094339623,0.0754716981132,0.0849056603774,0.0801886792453,0.667953667954,0.763191763192,d_handler
Lissne E,,16,19,3,17,3,127,13,140,0.907142857143,0.114285714286,0.135714285714,0.0214285714286,0.864864864865,0.913770913771,o_cutter
BlackstL,,16,11,9,5,2,22,163,185,0.118918918919,0.0864864864865,0.0594594594595,0.0486486486486,0.737451737452,0.58815958816,d_cutter
Curtis A,,16,36,7,24,4,203,42,245,0.828571428571,0.065306122449,0.14693877551,0.0285714285714,0.598455598456,0.942084942085,o_cutter
Lin M,,16,9,3,3,1,84,39,123,0.682926829268,0.130081300813,0.0731707317073,0.0243902439024,0.900900900901,0.680823680824,o_cutter
Michel M,,16,15,10,11,2,78,125,203,0.384236453202,0.0788177339901,0.0738916256158,0.0492610837438,0.689832689833,0.683397683398,d_handler
Landis T,,16,3,1,2,6,114,12,126,0.904761904762,0.126984126984,0.0238095238095,0.00793650793651,0.893822393822,0.220077220077,o_cutter
Chandl D,,16,7,4,5,4,80,122,202,0.39603960396,0.0792079207921,0.0346534653465,0.019801980198,0.694980694981,0.339124839125,d_cutter
Gibson K,,16,24,5,17,2,65,117,182,0.357142857143,0.0879120879121,0.131868131868,0.0274725274725,0.74453024453,0.904761904762,d_handler
Sheppa M,,16,18,9,6,3,37,163,200,0.185,0.08,0.09,0.045,0.700772200772,0.78120978121,d_handler
S. Hicks,,16,16,8,10,1,154,51,205,0.751219512195,0.0780487804878,0.0780487804878,0.0390243902439,0.683397683398,0.707207207207,o_cutter
Murray P,,16,25,7,10,4,142,41,183,0.775956284153,0.0874316939891,0.136612021858,0.0382513661202,0.741312741313,0.916344916345,o_cutter
Sisco S,,16,7,8,5,2,51,89,140,0.364285714286,0.114285714286,0.05,0.0571428571429,0.864864864865,0.500643500644,d_cutter
Buddy,,16,16,12,1,4,20,156,176,0.113636363636,0.0909090909091,0.0909090909091,0.0681818181818,0.754826254826,0.786357786358,d_handler
Trimbl S,,16,11,7,5,4,82,108,190,0.431578947368,0.0842105263158,0.0578947368421,0.0368421052632,0.725225225225,0.566280566281,d_cutter
Hau J.,,15,8,17,16,2,22,195,217,0.101382488479,0.0691244239631,0.036866359447,0.0783410138249,0.616473616474,0.380952380952,d_cutter
Kyle S,,15,29,7,20,1,268,35,303,0.884488448845,0.049504950495,0.0957095709571,0.023102310231,0.460746460746,0.80694980695,o_handler
Helms K,,15,5,3,2,1,110,110,220,0.5,0.0681818181818,0.0227272727273,0.0136363636364,0.612612612613,0.211068211068,d_cutter
Parisi M,,15,9,1,5,1,89,59,148,0.601351351351,0.101351351351,0.0608108108108,0.00675675675676,0.81981981982,0.598455598456,o_cutter
Peezic S,,15,4,3,6,3,88,47,135,0.651851851852,0.111111111111,0.0296296296296,0.0222222222222,0.856499356499,0.279922779923,d_cutter
Lepagnol,,15,20,9,22,4,119,40,159,0.748427672956,0.0943396226415,0.125786163522,0.0566037735849,0.782496782497,0.891891891892,o_cutter
Joye A,,15,45,11,29,3,228,69,297,0.767676767677,0.0505050505051,0.151515151515,0.037037037037,0.473616473616,0.954954954955,o_cutter
Carpen T,,15,9,14,7,1,42,152,194,0.216494845361,0.0773195876289,0.0463917525773,0.0721649484536,0.676962676963,0.468468468468,d_cutter
David B,,15,27,5,30,1,184,44,228,0.80701754386,0.0657894736842,0.118421052632,0.0219298245614,0.601673101673,0.874517374517,o_cutter
Bryant D,,15,1,11,5,1,19,119,138,0.13768115942,0.108695652174,0.00724637681159,0.0797101449275,0.851994851995,0.106821106821,d_cutter
Young L,,15,11,12,13,3,88,166,254,0.346456692913,0.0590551181102,0.0433070866142,0.0472440944882,0.557271557272,0.45045045045,d_cutter
B Hannah,,15,15,8,14,3,73,84,157,0.464968152866,0.0955414012739,0.0955414012739,0.0509554140127,0.790218790219,0.805662805663,o_cutter
Waldro B,,15,47,10,37,6,228,46,274,0.832116788321,0.0547445255474,0.171532846715,0.036496350365,0.507078507079,0.981981981982,o_cutter
Carlet A,,15,7,5,4,4,134,141,275,0.487272727273,0.0545454545455,0.0254545454545,0.0181818181818,0.505148005148,0.238095238095,d_cutter
Andrew A,,15,6,20,2,1,25,151,176,0.142045454545,0.0852272727273,0.0340909090909,0.113636363636,0.732303732304,0.328828828829,d_cutter
Cullen,,15,27,9,25,8,146,67,213,0.68544600939,0.0704225352113,0.12676056338,0.0422535211268,0.624195624196,0.895109395109,o_cutter
Kubinec,,14,6,9,5,2,11,153,164,0.0670731707317,0.0853658536585,0.0365853658537,0.0548780487805,0.734877734878,0.371943371943,d_cutter
Nico L,,14,13,2,10,2,154,46,200,0.77,0.07,0.065,0.01,0.622265122265,0.629343629344,o_cutter
Collom D,,14,26,14,28,5,178,98,276,0.644927536232,0.0507246376812,0.0942028985507,0.0507246376812,0.478764478764,0.795366795367,o_handler
Rosatt T,,14,11,1,3,2,84,51,135,0.622222222222,0.103703703704,0.0814814814815,0.00740740740741,0.83268983269,0.737451737452,o_cutter
Willia B,,14,8,3,9,4,93,31,124,0.75,0.112903225806,0.0645161290323,0.0241935483871,0.859716859717,0.625482625483,o_cutter
Wilkes A,,14,5,5,4,1,109,35,144,0.756944444444,0.0972222222222,0.0347222222222,0.0347222222222,0.801801801802,0.342342342342,o_cutter
Huffer W,,14,13,10,26,4,130,82,212,0.61320754717,0.0660377358491,0.061320754717,0.0471698113208,0.603603603604,0.606177606178,o_cutter
Barnha A,,14,17,8,17,1,115,122,237,0.485232067511,0.0590717299578,0.0717299578059,0.0337552742616,0.558558558559,0.673101673102,d_handler
Glenn P,,14,27,3,17,3,139,89,228,0.609649122807,0.0614035087719,0.118421052632,0.0131578947368,0.572715572716,0.874517374517,o_cutter
Tsang T,,14,9,5,13,0,83,92,175,0.474285714286,0.08,0.0514285714286,0.0285714285714,0.700772200772,0.515444015444,d_cutter
Shiel,,14,29,5,12,1,151,24,175,0.862857142857,0.08,0.165714285714,0.0285714285714,0.700772200772,0.971685971686,o_cutter
